step,K,U,E
0,0.0000000020,-0.0372757932,-0.0372757912
1,0.0000000080,-0.0372757932,-0.0372757852
2,0.0000000180,-0.0372757932,-0.0372757752
3,0.0000000320,-0.0372757932,-0.0372757612
4,0.0000000500,-0.0372757932,-0.0372757433
5,0.0000000719,-0.0372757932,-0.0372757213
6,0.0000000979,-0.0372757932,-0.0372756953
7,0.0000001279,-0.0372757932,-0.0372756653
8,0.0000001619,-0.0372757932,-0.0372756314
9,0.0000001998,-0.0372757932,-0.0372755934
10,0.0000002418,-0.0372757932,-0.0372755514
11,0.0000002877,-0.0372757932,-0.0372755055
12,0.0000003377,-0.0372757932,-0.0372754555
13,0.0000003916,-0.0372757932,-0.0372754016
14,0.0000004496,-0.0372757932,-0.0372753436
15,0.0000005115,-0.0372757932,-0.0372752817
16,0.0000005775,-0.0372757932,-0.0372752158
17,0.0000006474,-0.0372757932,-0.0372751458
18,0.0000007213,-0.0372758798,-0.0372751585
19,0.0000007993,-0.0372758798,-0.0372750806
20,0.0000008812,-0.0372758798,-0.0372749986
21,0.0000009671,-0.0372758798,-0.0372749127
22,0.0000010570,-0.0372768167,-0.0372757597
23,0.0000011509,-0.0372768167,-0.0372756658
24,0.0000012489,-0.0372768167,-0.0372755679
25,0.0000013508,-0.0372768167,-0.0372754660
26,0.0000014567,-0.0372768167,-0.0372753600
27,0.0000015666,-0.0372768167,-0.0372752501
28,0.0000016805,-0.0372768167,-0.0372751362
29,0.0000017984,-0.0372768167,-0.0372750183
30,0.0000019203,-0.0372768167,-0.0372748964
31,0.0000020462,-0.0372769047,-0.0372748586
32,0.0000021761,-0.0372769047,-0.0372747287
33,0.0000023100,-0.0372785627,-0.0372762528
34,0.0000024479,-0.0372785627,-0.0372761149
35,0.0000025898,-0.0372785860,-0.0372759963
36,0.0000027356,-0.0372785860,-0.0372758504
37,0.0000028855,-0.0372785860,-0.0372757005
38,0.0000030394,-0.0372796049,-0.0372765655
39,0.0000031973,-0.0372796049,-0.0372764076
40,0.0000033592,-0.0372796929,-0.0372763337
41,0.0000035251,-0.0372796929,-0.0372761678
42,0.0000036950,-0.0372799620,-0.0372762671
43,0.0000038689,-0.0372799620,-0.0372760932
44,0.0000040468,-0.0372799620,-0.0372759153
45,0.0000042286,-0.0372799620,-0.0372757334
46,0.0000044145,-0.0372799620,-0.0372755475
47,0.0000046044,-0.0372799620,-0.0372753576
48,0.0000047983,-0.0372800487,-0.0372752504
49,0.0000049962,-0.0372809837,-0.0372759875
50,0.0000051980,-0.0372811607,-0.0372759626
51,0.0000054039,-0.0372811607,-0.0372757567
52,0.0000056138,-0.0372811607,-0.0372755468
53,0.0000058277,-0.0372811607,-0.0372753330
54,0.0000060456,-0.0372812496,-0.0372752040
55,0.0000062674,-0.0372812689,-0.0372750015
56,0.0000064933,-0.0372812689,-0.0372747756
57,0.0000067232,-0.0372821375,-0.0372754143
58,0.0000069571,-0.0372829682,-0.0372760111
59,0.0000071950,-0.0372839013,-0.0372767063
60,0.0000074369,-0.0372840131,-0.0372765762
61,0.0000076828,-0.0372840131,-0.0372763303
62,0.0000079327,-0.0372840131,-0.0372760804
63,0.0000081866,-0.0372841271,-0.0372759404
64,0.0000084445,-0.0372841271,-0.0372756825
65,0.0000087065,-0.0372842137,-0.0372755072
66,0.0000089724,-0.0372852288,-0.0372762564
67,0.0000092423,-0.0372852288,-0.0372759865
68,0.0000095162,-0.0372852288,-0.0372757126
69,0.0000097941,-0.0372852288,-0.0372754347
70,0.0000100761,-0.0372853168,-0.0372752408
71,0.0000103620,-0.0372853168,-0.0372749548
72,0.0000106519,-0.0372854062,-0.0372747543
73,0.0000109459,-0.0372863618,-0.0372754159
74,0.0000112438,-0.0372882757,-0.0372770319
75,0.0000115458,-0.0372883637,-0.0372768179
76,0.0000118518,-0.0372883637,-0.0372765119
77,0.0000121617,-0.0372884016,-0.0372762399
78,0.0000124757,-0.0372884256,-0.0372759499
79,0.0000127937,-0.0372885122,-0.0372757185
80,0.0000131157,-0.0372894454,-0.0372763297
81,0.0000134417,-0.0372894454,-0.0372760037
82,0.0000137717,-0.0372894454,-0.0372756737
83,0.0000141057,-0.0372895334,-0.0372754277
84,0.0000144437,-0.0372895334,-0.0372750897
85,0.0000147857,-0.0372896130,-0.0372748273
86,0.0000151317,-0.0372905528,-0.0372754211
87,0.0000154818,-0.0372906418,-0.0372751600
88,0.0000158358,-0.0372924868,-0.0372766509
89,0.0000161939,-0.0372924868,-0.0372762929
90,0.0000165560,-0.0372924868,-0.0372759308
91,0.0000169221,-0.0372935075,-0.0372765854
92,0.0000172922,-0.0372935312,-0.0372762390
93,0.0000176663,-0.0372935312,-0.0372758649
94,0.0000180444,-0.0372936365,-0.0372755921
95,0.0000184265,-0.0372936558,-0.0372752293
96,0.0000188127,-0.0372939073,-0.0372750946
97,0.0000192028,-0.0372948469,-0.0372756442
98,0.0000195969,-0.0372949694,-0.0372753725
99,0.0000199951,-0.0372949694,-0.0372749743
100,0.0000203973,-0.0372966300,-0.0372762327
101,0.0000208035,-0.0372968002,-0.0372759967
102,0.0000212137,-0.0372977343,-0.0372765206
103,0.0000216280,-0.0372977343,-0.0372761064
104,0.0000220462,-0.0372978237,-0.0372757775
105,0.0000224685,-0.0372978582,-0.0372753897
106,0.0000228947,-0.0372987988,-0.0372759041
107,0.0000233250,-0.0372988868,-0.0372755618
108,0.0000237593,-0.0372989246,-0.0372751653
109,0.0000241976,-0.0372989246,-0.0372747270
110,0.0000246399,-0.0372991260,-0.0372744861
111,0.0000250862,-0.0373017281,-0.0372766419
112,0.0000255366,-0.0373017450,-0.0372762083
113,0.0000259910,-0.0373022614,-0.0372762704
114,0.0000264494,-0.0373022614,-0.0372758120
115,0.0000269119,-0.0373032784,-0.0372763665
116,0.0000273783,-0.0373033908,-0.0372760125
117,0.0000278488,-0.0373033908,-0.0372755421
118,0.0000283232,-0.0373033908,-0.0372750676
119,0.0000288017,-0.0373034774,-0.0372746758
120,0.0000292842,-0.0373060815,-0.0372767973
121,0.0000297708,-0.0373060815,-0.0372763107
122,0.0000302613,-0.0373061695,-0.0372759081
123,0.0000307559,-0.0373061890,-0.0372754331
124,0.0000312545,-0.0373072123,-0.0372759578
125,0.0000317571,-0.0373073031,-0.0372755460
126,0.0000322638,-0.0373073269,-0.0372750631
127,0.0000327744,-0.0373075465,-0.0372747720
128,0.0000332891,-0.0373087367,-0.0372754476
129,0.0000338078,-0.0373104019,-0.0372765941
130,0.0000343306,-0.0373104890,-0.0372761584
131,0.0000348573,-0.0373114259,-0.0372765686
132,0.0000353882,-0.0373115139,-0.0372761258
133,0.0000359230,-0.0373115139,-0.0372755909
134,0.0000364618,-0.0373117370,-0.0372752752
135,0.0000370047,-0.0373127791,-0.0372757744
136,0.0000375516,-0.0373127791,-0.0372752276
137,0.0000381025,-0.0373128654,-0.0372747629
138,0.0000386574,-0.0373146130,-0.0372759557
139,0.0000392164,-0.0373156384,-0.0372764220
140,0.0000397794,-0.0373156545,-0.0372758751
141,0.0000403464,-0.0373157481,-0.0372754016
142,0.0000409175,-0.0373171453,-0.0372762278
143,0.0000414926,-0.0373171453,-0.0372756527
144,0.0000420717,-0.0373172557,-0.0372751839
145,0.0000426549,-0.0373189402,-0.0372762854
146,0.0000432421,-0.0373199661,-0.0372767240
147,0.0000438333,-0.0373199662,-0.0372761329
148,0.0000444286,-0.0373200444,-0.0372756158
149,0.0000450278,-0.0373210698,-0.0372760419
150,0.0000456312,-0.0373210712,-0.0372754400
151,0.0000462385,-0.0373212149,-0.0372749764
152,0.0000468499,-0.0373223792,-0.0372755294
153,0.0000474653,-0.0373241274,-0.0372766621
154,0.0000480848,-0.0373243788,-0.0372762941
155,0.0000487083,-0.0373244674,-0.0372757591
156,0.0000493358,-0.0373254099,-0.0372760741
157,0.0000499674,-0.0373254975,-0.0372755301
158,0.0000506030,-0.0373255781,-0.0372749752
159,0.0000512426,-0.0373266068,-0.0372753642
160,0.0000518863,-0.0373282958,-0.0372764095
161,0.0000525340,-0.0373284723,-0.0372759382
162,0.0000531858,-0.0373294110,-0.0372762252
163,0.0000538416,-0.0373294977,-0.0372756561
164,0.0000545014,-0.0373295138,-0.0372750124
165,0.0000551653,-0.0373305622,-0.0372753969
166,0.0000558332,-0.0373308146,-0.0372749814
167,0.0000565052,-0.0373326894,-0.0372761842
168,0.0000571812,-0.0373338051,-0.0372766239
169,0.0000578613,-0.0373340053,-0.0372761441
170,0.0000585454,-0.0373340053,-0.0372754600
171,0.0000592335,-0.0373350721,-0.0372758386
172,0.0000599257,-0.0373350760,-0.0372751504
173,0.0000606219,-0.0373368316,-0.0372762097
174,0.0000613222,-0.0373378230,-0.0372765008
175,0.0000620266,-0.0373379363,-0.0372759098
176,0.0000627349,-0.0373389575,-0.0372762226
177,0.0000634474,-0.0373392975,-0.0372758502
178,0.0000641638,-0.0373392975,-0.0372751337
179,0.0000648843,-0.0373403267,-0.0372754423
180,0.0000656089,-0.0373419882,-0.0372763793
181,0.0000663375,-0.0373420748,-0.0372757372
182,0.0000670702,-0.0373431584,-0.0372760882
183,0.0000678070,-0.0373433373,-0.0372755304
184,0.0000685477,-0.0373435215,-0.0372749738
185,0.0000692925,-0.0373444640,-0.0372751715
186,0.0000700414,-0.0373462187,-0.0372761772
187,0.0000707944,-0.0373474131,-0.0372766187
188,0.0000715514,-0.0373475656,-0.0372760142
189,0.0000723124,-0.0373476005,-0.0372752881
190,0.0000730775,-0.0373486268,-0.0372755493
191,0.0000738467,-0.0373489164,-0.0372750698
192,0.0000746199,-0.0373506666,-0.0372760467
193,0.0000753972,-0.0373516938,-0.0372762967
194,0.0000761785,-0.0373517099,-0.0372755314
195,0.0000769639,-0.0373527623,-0.0372757984
196,0.0000777533,-0.0373532815,-0.0372755281
197,0.0000785468,-0.0373532815,-0.0372747347
198,0.0000793444,-0.0373559998,-0.0372766554
199,0.0000801461,-0.0373560785,-0.0372759325
200,0.0000809518,-0.0373571095,-0.0372761578
201,0.0000817615,-0.0373572206,-0.0372754591
202,0.0000825753,-0.0373572206,-0.0372746453
203,0.0000833932,-0.0373599313,-0.0372765381
204,0.0000842152,-0.0373599313,-0.0372757161
205,0.0000850412,-0.0373609985,-0.0372759573
206,0.0000858713,-0.0373614530,-0.0372755817
207,0.0000867055,-0.0373624158,-0.0372757103
208,0.0000875437,-0.0373625038,-0.0372749601
209,0.0000883860,-0.0373644443,-0.0372760583
210,0.0000892324,-0.0373653886,-0.0372761562
